ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²)
-2.241,7.7907,5.3965
-2.241,7.7907,5.3965
-2.6432,7.8769,5.4636
-2.6432,7.8769,5.4636
-2.2649,7.829,5.2241
-2.2649,7.829,5.2241
-2.2841,7.7237,5.7652
-2.2122,7.7859,5.8131
-2.2122,7.7859,5.8131
-1.6807,8.1116,5.5067
-1.6807,8.1116,5.5067
-2.5905,7.8961,5.7078
-2.5905,7.8961,5.7078
-1.968,8.1163,5.2577
-1.968,8.1163,5.2577
-2.3511,8.0014,5.3247
-2.3511,8.0014,5.3247
-1.6616,8.1307,5.4205
-1.6616,8.1307,5.4205
-1.743,8.2648,5.4205
-1.743,8.2648,5.4205
-2.7294,8.0541,5.6551
-2.7294,8.0541,5.6551
-2.2314,8.0397,5.2337
-2.2314,8.0397,5.2337
-2.2458,7.9392,5.1284
-2.2458,7.9392,5.1284
-1.6999,8.0493,5.2433
-1.6999,8.0493,5.2433
-1.6712,8.5138,5.4348
-1.6712,8.5138,5.4348
-2.3367,8.0541,5.4013
-2.3367,8.0541,5.4013
-2.5235,8.0445,4.9847
-2.5235,8.0445,4.9847
-1.7238,7.9871,4.7884
-1.7238,7.9871,4.7884
-2.0925,7.9823,5.2864
-2.0925,7.9823,5.2864
-1.8004,8.102,4.9943
-1.8004,8.102,4.9943
-2.0973,7.9966,4.9895
-2.0973,7.9966,4.9895
-1.9058,8.011,4.9273
-1.9058,8.011,4.9273
-1.6233,8.0158,4.9512
-1.6233,8.0158,4.9512
-2.4277,7.671,5.3103
-2.4277,7.671,5.3103
-2.4277,7.671,5.3103
-1.6185,7.8913,5.0182
-1.6185,7.8913,5.0182
-1.7334,7.6327,5.1858
-1.6137,7.8051,5.2864
-1.6137,7.8051,5.2864
-1.9058,7.9487,4.8219
-1.9058,7.9487,4.8219
-1.5036,8.0493,4.5394
-1.5036,8.0493,4.5394
-2.0734,7.7524,4.8219
-2.0734,7.7524,4.8219
-1.3838,8.3079,4.6064
-1.3838,8.3079,4.6064
-2.6049,8.011,5.1715
-2.6049,8.011,5.1715
-2.5331,7.7812,5.3822
-2.5331,7.7812,5.3822
-1.8196,7.9775,5.3726
-1.8196,7.9775,5.3726
-2.1308,7.8434,5.7604
-2.1308,7.8434,5.7604
-1.3934,8.2361,5.3726
-1.3934,8.2361,5.3726
-2.4804,7.944,5.4109
-2.4804,7.944,5.4109
-1.8531,8.0445,5.6168
-1.8531,8.0445,5.6168
-1.901,7.9918,5.9568
-1.901,7.9918,5.9568
-2.4229,7.829,5.5737
-2.4229,7.829,5.5737
-2.0399,7.7045,5.1763
-2.0399,7.7045,5.1763
-1.968,7.5274,5.1619
-1.968,7.5274,5.1619
-1.7047,7.8961,4.6591
-1.7047,7.8961,4.6591
-2.2697,7.7381,4.7166
-2.2697,7.7381,4.7166
-1.7957,7.7716,4.5586
-1.7957,7.7716,4.5586
-2.5043,7.9344,4.798
-2.5043,7.9344,4.798
-2.4948,7.7907,4.4628
-2.4948,7.7907,4.4628
-2.2075,7.8865,4.5633
-2.2075,7.8865,4.5633
-2.2936,8.0637,5.1427
-2.2936,8.0637,5.1427
-2.2745,8.011,5.454
-2.2745,8.011,5.454
-2.3463,8.0397,5.7078
-2.3463,8.0397,5.7078
-2.3511,8.2121,5.6886
-2.3511,8.2121,5.6886
-2.6671,7.8913,6.0047
-2.6671,7.8913,6.0047
-2.2266,7.7716,6.1675
-2.2266,7.7716,6.1675
-2.2362,7.8578,6.177
-2.2362,7.8578,6.177
-2.375,7.7812,6.1914
-2.375,7.7812,6.1914
-2.375,7.7907,5.6407
-2.375,7.7907,5.6407
-2.1596,7.8338,4.8985
-2.1596,7.8338,4.8985
-2.2936,7.7668,4.8842
-2.2936,7.7668,4.8842
-1.9632,8.0876,4.8123
-1.9632,8.0876,4.8123
-2.8778,7.8434,5.1906
-2.8778,7.8434,5.1906
-2.6049,7.9009,5.4396
-2.6049,7.9009,5.4396
-2.1644,8.0685,5.7174
-2.1644,8.0685,5.7174
-2.7821,7.9487,6.11
-2.7821,7.9487,6.11
-2.7869,7.853,6.0382
-2.1835,8.0828,5.8275
-2.1835,8.0828,5.8275
-2.6193,7.9775,5.8897
-2.6193,7.9775,5.8897
-2.6863,7.9535,6.1052
-2.6863,7.9535,6.1052
-2.3128,7.8769,6.1435
-2.2697,7.8147,6.3542
-2.5474,7.6758,6.4021
-2.5474,7.6758,6.4021
-2.1213,7.8386,5.952
-2.1213,7.8386,5.952
-2.3894,7.7428,5.7365
-2.3894,7.7428,5.7365
-2.332,7.6423,5.612
-2.332,7.6423,5.612
-1.9154,7.6902,5.3056
-1.9154,7.6902,5.3056
-1.9201,7.5226,5.6551
-1.9201,7.5226,5.6551
-1.992,7.4508,5.5593
-1.992,7.4508,5.5593
-1.561,7.5705,5.1906
-1.561,7.5705,5.1906
-2.2505,7.355,4.8985
-2.2505,7.355,4.8985
-2.1931,7.3263,4.7022
-2.1931,7.3263,4.7022
-2.1261,7.2688,5.0709
-2.1261,7.2688,5.0709
-1.992,7.1874,5.5641
-1.992,7.1874,5.5641
-1.5706,7.5944,5.1858
-1.5706,7.5944,5.1858
-2.466,7.355,4.9512
-2.466,7.355,4.9512
-2.3032,7.4843,4.7405
-2.3032,7.4843,4.7405
-2.3032,7.4843,4.7405
-1.5467,7.8003,4.7932
-1.5467,7.8003,4.7932
-2.1835,7.7859,5.5067
-1.9537,7.7907,5.3295
-1.9537,7.7907,5.3295
-2.0207,7.9057,5.1188
-2.0207,7.9057,5.1188
-2.3367,7.7189,5.363
-2.3367,7.7189,5.363
-1.8627,7.9631,5.2625
-1.8627,7.9631,5.2625
-2.0973,8.169,5.3486
-1.7478,8.5042,5.5258
-1.7478,8.5042,5.5258
-2.3176,8.102,5.612
-2.3894,8.1068,5.6264
