ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²)
-0.2155,-3.553,4.5538
1.7957,-4.4341,4.6591
1.7957,-4.4341,4.6591
2.8347,-4.7645,4.9704
2.8347,-4.7645,4.9704
3.3615,-5.0709,4.1515
3.3615,-5.0709,4.1515
4.3718,-5.952,1.9297
4.3718,-5.952,1.9297
3.6009,-7.7285,0.838
2.5666,-10.1849,0.4597
2.5666,-10.1849,0.4597
2.5666,-10.1849,0.4597
-13.3165,-17.6836,-25.6898
-19.7043,-17.9613,-0.0383
-19.7043,-17.9613,-0.0383
-24.6842,-11.9997,-2.1787
-24.6842,-11.9997,-2.1787
-14.8776,-7.7285,-3.5913
-14.8776,-7.7285,-3.5913
-8.8059,-3.6871,-1.312
-8.8059,-3.6871,-1.312
-5.0182,-5.636,-0.9098
-5.0182,-5.636,-0.9098
-0.1149,-9.4332,-1.1301
5.5737,-14.5424,-9.1458
5.5737,-14.5424,-9.1458
1.3551,-16.4721,-3.1651
1.3551,-16.4721,-3.1651
-1.8962,-17.2047,0.1293
-1.8962,-17.2047,0.1293
-0.3591,-11.4682,4.3383
-0.3591,-11.4682,4.3383
0.0575,-9.4667,3.1029
-0.34,-7.853,1.6664
-0.34,-7.853,1.6664
-0.2346,-7.6902,1.5323
-0.2346,-7.6902,1.5323
-0.2346,-7.6902,1.5323
-1.4269,-7.9009,1.1732
-1.4269,-7.9009,1.1732
-2.8347,-8.6,1.1588
-2.8347,-8.6,1.1588
-3.4093,-9.1506,1.2929
-3.4093,-9.1506,1.2929
-3.2226,-8.7771,1.7909
-3.2226,-8.7771,1.7909
-2.988,-7.4316,1.5658
-2.988,-7.4316,1.5658
-2.6576,-5.9376,1.245
-2.6576,-5.9376,1.245
-2.6671,-5.363,0.972
-2.6671,-5.363,0.972
-3.3806,-6.4117,0.249
-3.3806,-6.4117,0.249
-4.458,-8.1786,-0.3879
-4.458,-8.1786,-0.3879
-5.9568,-9.596,-0.2059
-5.9568,-9.596,-0.2059
-6.699,-10.3334,0.2825
-6.699,-10.3334,0.2825
-6.7325,-10.137,0.8523
-6.7325,-10.137,0.8523
-6.5266,-9.256,1.3072
-6.5266,-9.256,1.3072
-6.3351,-8.8633,0.6464
-6.3351,-8.8633,0.6464
-5.6599,-9.2608,-0.5363
-5.6599,-9.2608,-0.5363
-6.2441,-10.1562,-0.5698
-6.4404,-10.7691,1.0678
-6.4404,-10.7691,1.0678
-5.1811,-12.2775,-5.1523
-5.1811,-12.2775,-5.1523
-8.4659,-11.3437,-7.9871
-8.4659,-11.3437,-7.9871
-10.9032,-9.9072,-8.193
-10.9032,-9.9072,-8.193
-9.0453,-9.7013,0.9529
-9.0453,-9.7013,0.9529
-11.248,-7.6854,-5.3343
-11.248,-7.6854,-5.3343
-12.22,-8.6574,-4.4963
-12.22,-8.6574,-4.4963
-12.22,-12.7084,0.3496
-9.9216,-12.7084,0.3496
-6.9863,-14.1497,0.0287
-6.9863,-14.1497,0.0287
-5.4013,-15.6437,-0.9242
-5.4013,-15.6437,-0.9242
-5.6695,-18.1672,-0.0575
-5.6695,-18.1672,-0.0575
-1.1875,-22.2373,1.1779
-1.1875,-22.2373,1.1779
2.557,-21.2318,2.8539
2.557,-21.2318,2.8539
2.15,-16.2279,3.237
2.15,-16.2279,3.237
2.15,-16.2279,3.237
1.7813,-10.6015,2.8922
1.7813,-10.6015,2.8922
1.5275,-6.0908,0.4214
1.5275,-6.0908,0.4214
0.6752,-4.1707,-1.3168
0.6752,-4.1707,-1.3168
-0.0335,-3.3232,0.4166
-0.0335,-3.3232,0.4166
-0.9146,-3.122,2.1261
-0.9146,-3.122,2.1261
-1.6089,-3.7685,2.9975
-1.6089,-3.7685,2.9975
-0.9146,-4.1084,4.1468
-0.9146,-4.1084,4.1468
1.8627,-4.0941,4.2425
1.8627,-4.0941,4.2425
3.5051,-4.2186,3.3902
3.5051,-4.2186,3.3902
5.2529,-4.9895,1.7957
5.2529,-4.9895,1.7957
5.1667,-6.201,0.8045
5.1667,-6.201,0.8045
1.2737,-10.817,-12.1099
1.2737,-10.817,-12.1099
-15.1505,-16.4146,-13.0819
-15.1505,-16.4146,-13.0819
-24.598,-17.8224,3.3902
-24.598,-17.8224,3.3902
-22.5582,-11.7651,-1.2306
-18.9477,-10.0844,-2.7677
-18.9477,-10.0844,-2.7677
-12.5408,-5.8227,-2.1021
-12.5408,-5.8227,-2.1021
-5.9616,-6.268,-2.2601
-5.9616,-6.268,-2.2601
5.8131,-12.8856,-18.4737
5.8131,-12.8856,-18.4737
-0.4501,-14.4227,-0.565
-0.4501,-14.4227,-0.565
1.585,-16.3428,-1.9585
1.585,-16.3428,-1.9585
0.996,-12.6174,1.7861
0.4597,-10.2472,2.8683
0.4597,-10.2472,2.8683
-0.6752,-8.7867,2.7007
-0.6752,-8.7867,2.7007
-0.838,-9.7252,1.5467
-0.838,-9.7252,1.5467
-0.8045,-9.7923,1.4653
-0.8045,-9.7923,1.4653
-1.8387,-8.7388,1.7909
-1.8387,-8.7388,1.7909
-2.7964,-8.3175,1.6376
-2.7964,-8.3175,1.6376
-2.4134,-7.9775,1.7765
-2.4134,-7.9775,1.7765
-1.2019,-7.3167,2.4325
-1.2019,-7.3167,2.4325
-1.2019,-7.3167,2.4325
-2.4469,-6.1292,1.5371
-2.4469,-6.1292,1.5371
-3.3327,-5.794,0.6752
-3.3327,-5.794,0.6752
-3.2944,-6.5505,0.0718
-3.2944,-6.5505,0.0718
-3.7493,-8.1068,-0.407
-3.7493,-8.1068,-0.407
-5.7796,-9.3805,-0.3496
-5.7796,-9.3805,-0.3496
-6.924,-10.0556,0.0335
-6.924,-10.0556,0.0335
-6.9815,-10.2137,0.6464
-6.9815,-10.2137,0.6464
-6.5505,-9.8497,1.087
-6.5505,-9.8497,1.087
-6.7756,-8.8202,0.6943
-6.7756,-8.8202,0.6943
-5.9376,-8.7484,-0.4166
-5.9376,-8.7484,-0.4166
-5.7557,-9.1267,-0.8715
-5.7557,-9.1267,-0.8715
-6.3063,-10.3669,0.1197
-6.3063,-10.3669,0.1197
-5.952,-11.4778,-6.3303
-5.952,-11.4778,-6.3303
-8.26,-10.6015,-8.2169
-8.26,-10.6015,-8.2169
-9.0309,-9.4858,-4.4388
-9.0309,-9.4858,-4.4388
-9.0644,-9.7061,-1.2594
-9.0644,-9.7061,-1.2594
-13.3836,-7.7141,-10.975
-11.6119,-7.5848,-4.2808
-11.6119,-7.5848,-4.2808
-11.6646,-8.6335,-1.3743
-11.6646,-8.6335,-1.3743
-9.8881,-11.9806,1.2306
-9.8881,-11.9806,1.2306
-7.92,-14.2455,0.7422
-7.92,-14.2455,0.7422
-5.9185,-15.9502,0.0718
-5.9185,-15.9502,0.0718
-6.7564,-19.0483,0.972
-6.7564,-19.0483,0.972
-5.5976,-23.128,1.0774
-5.5976,-23.128,1.0774
-0.7422,-22.5725,1.1253
-0.7422,-22.5725,1.1253
4.5873,-16.6924,6.0765
4.5873,-16.6924,6.0765
-0.1245,-10.3717,8.1882
-0.1245,-10.3717,8.1882
-0.6656,-7.7812,5.6838
0.6752,-3.4237,-2.2841
0.6752,-3.4237,-2.2841
0.6752,-3.4237,-2.2841
1.1684,-1.8627,-4.3862
1.1684,-1.8627,-4.3862
0.7135,-2.6528,0.3926
0.7135,-2.6528,0.3926
0.2203,-3.5482,4.2425
0.2203,-3.5482,4.2425
0.9625,-4.4341,5.138
0.9625,-4.4341,5.138
2.4229,-4.7645,4.6591
2.4229,-4.7645,4.6591
3.0358,-4.7884,4.4772
3.6727,-4.9225,4.0414
3.6727,-4.9225,4.0414
4.7118,-5.8754,1.901
4.7118,-5.8754,1.901
4.5155,-8.2744,0.8045
4.5155,-8.2744,0.8045
-10.1993,-14.2024,-49.6701
-10.1993,-14.2024,-49.6701
-17.2095,-20.1161,1.3695
-17.2095,-20.1161,1.3695
-22.1942,-14.7004,1.1492
-22.1942,-14.7004,1.1492
-19.1345,-8.7101,-7.7764
-19.1345,-8.7101,-7.7764
-10.0173,-4.367,-1.743
-10.0173,-4.367,-1.743
-6.1627,-3.4955,-1.0391
-6.1627,-3.4955,-1.0391
-3.9313,-7.7764,-1.4844
-3.9313,-7.7764,-1.4844
1.5993,-15.8065,-4.6495
1.5993,-15.8065,-4.6495
0.2011,-18.2151,-4.2665
0.2011,-18.2151,-4.2665
-3.0694,-17.4394,0.3974
-3.0694,-17.4394,0.3974
-1.7909,-9.8833,3.5051
-1.7909,-9.8833,3.5051
-0.316,-7.3454,1.3264
-0.316,-7.3454,1.3264
0.4597,-6.5697,1.4413
0.4597,-6.5697,1.4413
-0.7183,-7.2496,1.2402
-0.7183,-7.2496,1.2402
-1.9249,-8.6,1.0918
-1.9249,-8.6,1.0918
-3.486,-9.7923,1.2785
-3.486,-9.7923,1.2785
-3.5195,-9.7923,1.5467
-3.5195,-9.7923,1.5467
-2.5235,-8.6239,1.8292
-2.5235,-8.6239,1.8292
-1.9393,-6.8666,1.5227
-1.9393,-6.8666,1.5227
-1.9585,-5.6982,1.0247
-1.9585,-5.6982,1.0247
-2.4277,-5.3965,0.4166
-2.4277,-5.3965,0.4166
-2.4277,-5.3965,0.4166
-3.0981,-6.8761,-0.5171
-3.0981,-6.8761,-0.5171
-4.549,-8.8298,-0.9481
-4.549,-8.8298,-0.9481
-5.8466,-9.7875,-0.4741
-5.8466,-9.7875,-0.4741
-6.4404,-10.343,0.5555
-6.4404,-10.343,0.5555
-6.6463,-10.5153,1.5083
-6.6463,-10.5153,1.5083
-6.7133,-9.7827,2.0925
-6.7133,-9.7827,2.0925
-6.4691,-8.6862,1.3647
-6.4691,-8.6862,1.3647
-6.3782,-8.5952,0.1676
-6.3782,-8.5952,0.1676
-6.9145,-9.4332,-0.7326
-6.9145,-9.4332,-0.7326
-7.0198,-10.9032,0.747
-7.0198,-10.9032,0.747
-8.0589,-11.2336,-4.5729
-8.0589,-11.2336,-4.5729
-9.2033,-10.7404,-10.4196
-9.2033,-10.7404,-10.4196
-10.3813,-10.2185,-11.5448
-10.3813,-10.2185,-11.5448
-7.944,-9.9647,-2.2649
-7.944,-9.9647,-2.2649
-13.1681,-8.351,-6.766
-13.1681,-8.351,-6.766
-12.7755,-11.2001,-0.7614
-12.7755,-11.2001,-0.7614
-8.9543,-12.8138,0.3926
-8.9543,-12.8138,0.3926
-5.9616,-14.1114,-1.0965
-5.7221,-15.1314,-0.8188
-5.7221,-15.1314,-0.8188
-6.0238,-18.1864,0.4405
-6.0238,-18.1864,0.4405
-3.7733,-21.1312,0.6081
-3.7733,-21.1312,0.6081
-0.7374,-20.6524,0.158
-0.7374,-20.6524,0.158
3.735,-17.1904,3.213
3.1556,-14.3221,6.3494
3.1556,-14.3221,6.3494
-0.5794,-8.849,7.9104
-0.5794,-8.849,7.9104
-0.2825,-7.3837,5.1523
0.6033,-4.3335,1.3264
0.6033,-4.3335,1.3264
-0.4453,-1.1109,-4.5729
-0.4453,-1.1109,-4.5729
-0.4262,-1.9249,0.0718
