ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²)
4.8219,6.1339,-0.2873
4.8219,6.1339,-0.2873
4.458,5.9568,0.2873
4.458,5.9568,0.2873
3.8499,6.0382,0.5555
3.8499,6.0382,0.5555
4.0845,6.268,0.5315
4.0845,6.268,0.5315
4.1132,6.8091,0.2825
4.1132,6.8091,0.2825
4.367,7.446,0.1915
4.367,7.446,0.1915
4.367,7.446,0.1915
4.7597,8.0589,0.1867
4.7597,8.0589,0.1867
4.7932,8.0158,0.2825
4.7932,8.0158,0.2825
4.3096,8.0637,0.8906
4.3096,8.0637,0.8906
3.4046,8.6431,-0.8523
3.4046,8.6431,-0.8523
4.051,9.2512,-3.4477
4.051,9.2512,-3.4477
5.0566,9.5529,2.2745
5.0566,9.5529,2.2745
2.2266,10.6015,0.9385
2.2266,10.6015,0.9385
2.2266,10.6015,0.9385
6.3829,8.1977,-0.0958
6.3829,8.1977,-0.0958
6.1723,7.8099,0.1341
6.1723,7.8099,0.1341
5.861,8.3031,-0.2825
5.861,8.3031,-0.2825
5.8323,9.2943,1.5179
5.8323,9.2943,1.5179
5.5162,9.5816,1.9441
5.5162,9.5816,1.9441
5.0996,10.2711,2.3176
5.0996,10.2711,2.3176
5.3774,11.0612,1.9441
5.3774,11.0612,1.9441
6.0956,11.3629,1.5371
6.0956,11.3629,1.5371
6.5553,12.0333,1.3072
6.5553,12.0333,1.3072
6.5936,13.4889,0.7087
6.5936,13.4889,0.7087
6.3398,14.8105,-2.3176
6.3398,14.8105,-2.3176
6.6032,12.9574,4.8842
6.6032,12.9574,4.8842
6.5266,10.2041,-5.6647
6.5266,10.2041,-5.6647
6.3111,9.4332,-4.3814
6.3111,9.4332,-4.3814
5.4636,9.1746,-0.1724
5.4636,9.1746,-0.1724
4.4293,8.4132,2.7773
4.4293,8.4132,2.7773
3.5626,7.3741,2.241
3.5626,7.3741,2.241
4.4915,6.7133,1.3024
4.4915,6.7133,1.3024
4.9943,6.9001,0.2682
4.9943,6.9001,0.2682
4.6543,7.1539,-0.4597
4.9081,7.3933,-0.4836
4.9081,7.3933,-0.4836
4.865,8.4994,-0.4884
4.956,9.0166,-0.6177
4.956,9.0166,-0.6177
6.0047,8.9735,-0.2251
6.0047,8.9735,-0.2251
6.4691,8.2552,1.1779
6.4691,8.2552,1.1779
6.0525,8.3797,1.3934
5.3534,8.5329,0.8045
5.3534,8.5329,0.8045
4.2186,7.4412,-1.0008
4.2186,7.4412,-1.0008
3.5674,6.7564,-1.8771
3.5674,6.7564,-1.8771
2.6001,6.8426,-2.3224
2.6001,6.8426,-2.3224
2.8683,7.0006,0.0144
2.8683,7.0006,0.0144
3.1316,6.8761,1.6616
3.486,6.6846,1.6233
3.486,6.6846,1.6233
4.5681,6.3829,1.4796
4.5681,6.3829,1.4796
6.1292,6.043,1.5419
6.1292,6.043,1.5419
7.5896,5.1858,1.4509
7.829,4.6591,0.9529
7.1443,4.276,0.3879
7.1443,4.276,0.3879
5.2768,4.0175,0.0766
5.2768,4.0175,0.0766
4.2952,3.7014,0.9337
3.96,3.5626,0.929
3.96,3.5626,0.929
3.9313,3.1795,0.7901
3.9313,3.1795,0.7901
4.8076,3.0406,1.0008
5.3534,2.8395,1.0247
5.3534,2.8395,1.0247
6.8905,2.8539,0.5363
6.8905,2.8539,0.5363
7.8099,3.8547,0.4597
8.2361,4.3335,0.4788
8.2361,4.3335,0.4788
9.0453,6.6511,4.2377
9.0453,6.6511,4.2377
12.4738,12.7419,8.2935
15.6485,16.1657,3.6344
15.6485,16.1657,3.6344
14.6812,19.6229,-3.4046
